1-1  | Pilot
12-11 | The Paintball Scattering
12-12 | The Propagation Proposition
12-13 | The Confirmation Polarization
12-14 | The Meteorite Manifestation
12-15 | The Donation Oscillation
12-16 | The D & D Vortex
12-17 | The Conference Valuation
12-18 | The Laureate Accumulation
12-19 | The Inspiration Deprivation
12-20 | The Decision Reverberation
12-21 | The Plagiarism Schism
12-22 | The Maternal Conclusion
12-23 | The Change Constant
12-24 | The Stockholm Syndrome
